,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25
13288,14.464333,0.66710615,-1.75836,-1.3547751,-0.84246945,6.305253,-0.24977553,1.6681709,2.0479465,1.1196325,-2.8219297,0.6796966,0.5267757,-3.4077106,-1.1101096,0.2898415,-2.354011,1.3580927,-0.41502205,1.061405,-1.3709294,2.9728491,-2.3633468,0.6986593,-2.1395185
13248,-6.550251,-6.5145364,-3.5578911,-3.3023882,-4.235814,6.722076,-4.419655,-2.352389,7.6325274,-5.2748756,-5.611168,3.8693018,0.02071917,-5.5817146,4.3215804,1.3289195,-0.23396483,-2.0286896,-2.2030132,0.85637724,-1.4832947,2.2997196,-2.8653862,-0.6930415,-2.165701
13237,-0.3787737,-2.925834,-4.7787876,6.8782897,-3.3997765,-1.4252417,3.6547744,-0.5324792,-1.5195502,-2.88168,0.21720204,-0.6792,0.71355313,-0.22362643,-2.9100087,2.9553034,-3.3647165,1.6491205,3.7968252,0.6881427,1.3858323,1.5275962,-1.8018924,-3.6218429,-0.29314116
13225,14.794013,-0.85269725,1.5955777,-3.5833218,1.8997077,-6.472194,0.64876807,1.4849365,2.527762,2.6344428,-1.0068523,2.203292,0.8592741,-4.1917973,-1.8176296,1.6895218,-2.6120386,0.5647924,-0.7199926,0.9399153,-0.8784747,1.5677449,3.7926283,-1.2186381,1.0457944
13016,13.518143,2.439778,5.0270677,-5.555947,-7.5520525,1.1202859,1.6627325,0.9206716,-2.9631422,2.1510189,6.8064117,0.5740095,-2.0939312,-2.1402977,-2.195412,-3.458089,-2.828374,0.37183413,-2.1169627,-3.3544157,-0.72084314,1.6622733,1.5946352,-2.0463977,1.5344317
13029,-2.266525,0.73086107,-5.5331025,1.2568477,-6.438888,6.977008,5.8494444,0.4446105,-1.6589897,-4.880034,-1.8781701,-2.3985553,-0.95137393,-2.1376424,-2.7823846,2.2326918,-1.6425254,1.8950069,-3.7680838,-1.1815089,-2.2269936,-5.223224,0.43634048,-3.0459638,2.5190923
13258,-4.2645283,1.5049369,7.756737,-2.0208726,-6.9490995,-3.7119167,-1.0927513,4.0514207,-5.331194,0.9605194,-2.5472593,1.2310137,-1.7482493,0.0053535597,3.9425738,-0.096275814,4.55812,-0.28274667,-0.21209419,1.3246675,-1.889529,0.59472674,2.5542185,-0.6253662,-1.5474303
23650,15.290015,-1.1786526,-1.2378168,-2.6896007,-3.5624692,-0.52902234,1.1940168,-1.2039299,1.4425645,0.19310245,-2.2639432,-0.15286204,0.20601848,-1.7772769,-0.9596451,-3.1453042,-2.5709262,0.40660095,-1.780546,-0.64206284,-0.058355957,0.49600098,-0.5237951,-0.9991083,-0.21676281
23654,13.428934,1.8338128,-2.8323584,-0.25778332,6.557805,-1.5344133,-1.8869865,1.4782952,-1.0433265,0.001250446,0.25485224,1.3045818,-0.71806955,0.087207206,0.15743831,-1.0207838,-2.2044413,-0.84524006,-0.3133242,3.5467973,0.43086743,-2.3447528,-0.8107283,-0.11235569,-0.40437528
23888,-4.1356444,-6.649668,5.797138,-2.1918662,6.925716,-4.4429355,4.1317115,3.6973312,-3.4207094,2.275661,-5.303192,5.468157,-2.711801,-0.51093405,1.7411048,-1.71023,-1.7814138,0.104670115,-0.86516005,1.129825,3.1224551,-0.32223102,0.9933673,2.9784606,-1.7424282
23714,-5.217848,-1.6206706,-5.3401237,0.5280221,3.1152012,-2.1163926,-5.497011,6.424196,3.5372355,-6.8476057,4.57448,-0.8422375,4.3364077,0.43404415,3.5094683,-1.3712442,-6.1977887,-2.3084097,-2.0058756,-0.9831326,-2.1050682,3.2445195,0.84886026,1.2925371,0.83874977
23816,-5.218974,-2.5707707,0.20898715,1.6656326,10.128123,0.41705108,-4.2868457,0.91420895,0.5144369,-4.6352606,1.8101609,9.01072,8.045673,-0.28275236,4.971202,-0.08239059,-4.291198,-1.2890613,-1.2273489,1.1699789,-2.7655976,2.7550433,-2.1727679,-1.519875,-3.3275974
