,pc_1,pc_2,pc_3,pc_4,pc_5
13288,14.464333,0.66710615,-1.75836,-1.3547751,-0.84246945
13248,-6.550251,-6.5145364,-3.5578911,-3.3023882,-4.235814
13237,-0.3787737,-2.925834,-4.7787876,6.8782897,-3.3997765
13225,14.794013,-0.85269725,1.5955777,-3.5833218,1.8997077
13016,13.518143,2.439778,5.0270677,-5.555947,-7.5520525
13029,-2.266525,0.73086107,-5.5331025,1.2568477,-6.438888
13258,-4.2645283,1.5049369,7.756737,-2.0208726,-6.9490995
23650,15.290015,-1.1786526,-1.2378168,-2.6896007,-3.5624692
23654,13.428934,1.8338128,-2.8323584,-0.25778332,6.557805
23888,-4.1356444,-6.649668,5.797138,-2.1918662,6.925716
23714,-5.217848,-1.6206706,-5.3401237,0.5280221,3.1152012
23816,-5.218974,-2.5707707,0.20898715,1.6656326,10.128123
23702,-1.2391455,-6.140514,1.548654,-1.2699325,0.83906263
23690,-7.653844,-2.3141325,1.6345072,-5.2001977,0.9023953
65,-6.677449,-1.7184062,1.9852524,0.16836812,7.113667
176,-2.710515,-3.4651964,2.3269236,0.5722265,-3.4327986
153,-7.168532,-0.019254636,2.3023655,-0.43684,-0.031683475
187,-3.084153,-6.1830816,5.5636544,-2.7110307,7.4259067
205,15.264932,-1.0821924,3.381497,-3.1777446,2.2859385
228,-4.2334156,-6.799253,0.15607874,1.3445519,2.2551866
129,-5.112704,0.862995,-2.3252673,3.284233,-3.4564445
20705,-3.1154056,-1.234124,3.6676466,-2.4069088,-0.9945475
20665,7.6793637,7.834392,-1.0602419,2.5773923,0.44559678
20649,-2.1884515,-2.0162284,3.030729,-0.5327531,0.28217173
20673,-11.093131,18.743328,1.4559728,-0.38277596,2.367634
20653,-0.18336226,-2.2147946,2.9661741,-0.027446374,-2.3336458
20658,-2.05855,-5.595685,4.812793,2.6043732,1.3588513
20720,-9.353593,19.424635,2.3215435,2.0153413,3.9986575
12797,-4.1621146,-3.4783247,0.25731382,1.1635797,3.437957
12720,-12.592157,19.320236,0.9487212,-2.684567,3.1384237
12902,-8.2081,3.8579853,-8.99446,0.99521697,-4.4084873
12552,-7.1691513,2.7146409,0.99902767,-3.470169,-7.5805826
12362,-6.9350257,-5.2463303,2.3113565,-5.105479,7.3051457
12427,-5.4152627,1.8754736,0.2543866,1.2150818,0.28212175
12129,-6.6690507,-5.004067,-1.6115713,-1.5335497,6.91575
12850,-6.498204,5.783611,5.666345,-2.078681,1.880589
12373,-10.423161,8.439014,0.90855193,-1.9574183,-0.76143354
12562,-5.483857,-3.8109932,-5.235378,0.3943559,-0.74977803
12243,-6.7530727,-0.48073757,-5.474421,-2.5679026,-1.0615169
12540,-12.68608,18.89463,1.338613,0.7988857,0.51819044
12142,-5.039926,-0.3026444,1.5020492,-2.4718874,2.2646897
12168,-5.710686,0.51681066,3.1310742,2.81547,4.3265457
12155,14.416879,-0.5594806,-0.10975591,-2.2364206,7.33832
12571,-4.791167,-0.6903755,-0.38802212,-0.34064093,-1.2558833
12752,-4.9176583,4.8959804,6.6767607,1.5028802,0.93154657
12504,-8.8625345,8.768567,1.3826686,2.1253505,-1.579314
12219,-6.9829364,-5.881984,3.585194,-4.536415,5.3601365
12194,-12.032177,18.605648,1.0239482,-1.3202554,1.6804403
12054,-4.999926,-2.5253825,-6.9658136,1.6378882,-2.7787557
12441,-4.709085,0.24747255,0.62570566,1.6554407,-0.43103892
12863,-8.669192,-1.0491825,-8.804046,-4.236059,-3.5122378
12676,1.3944663,-1.9301735,2.9821224,9.345244,4.099505
12641,12.798196,3.3115954,-3.9512017,-0.9804111,4.1425333
12528,-9.585278,20.02916,1.6278714,1.8124774,2.2756152
12061,-3.1330056,-4.866897,-7.04737,1.8353467,4.7552743
12343,-4.7676277,0.78401965,-6.628445,0.05467003,-4.4526854
12467,-6.0121503,-1.7148408,-5.2733655,-0.012429045,2.1245525
12516,-8.769695,-1.0046072,-10.444975,-2.144104,-6.1768165
12811,-4.578314,-5.019096,-0.9268784,-1.6067109,-4.6705523
12914,-12.294813,18.97245,0.75667554,-0.8310836,1.4413366
12034,-10.494498,5.5917273,0.4052456,-2.6200175,-5.057118
12837,-12.497638,18.863358,1.0222522,0.47069308,1.2699957
12824,-5.4879518,-0.40237948,3.8811193,1.8171692,1.0689849
12704,-4.5560594,3.7760282,-5.320845,2.7356362,-3.8980803
12103,-8.789318,-0.2735567,2.7987776,-3.9316268,5.343837
12876,-2.3860748,0.0132830255,-7.742186,3.7418349,-4.7365737
12181,0.22969238,0.20512709,2.192087,3.1616433,9.187138
12736,11.834275,6.450981,2.0038886,-0.7111711,9.078552
12040,-1.708984,-5.8230867,4.918134,9.920364,6.364639
12926,-7.080662,-1.9263881,-7.627615,-2.9074087,-5.138176
12580,-7.0365605,2.8332634,-5.0013275,0.13826151,-0.39131737
12068,-11.683119,19.052216,1.6916585,2.3289142,0.73674697
12047,-5.461923,-3.0520353,2.0517373,-4.1972785,9.919241
12384,0.5085176,-4.142845,2.8609982,15.639026,5.092268
12492,-5.0693913,1.6594809,-2.699224,-0.021479825,-3.9823554
12413,-5.3648443,1.284924,1.2491902,-2.850636,5.6801677
12090,-5.9256225,-3.4341931,-0.48022726,1.3649479,-1.8717115
18352,-11.546689,19.105513,1.574054,-0.56081426,2.420802
18316,-8.371234,4.4250536,-9.765182,-0.64329517,-4.911119
18366,2.2567942,-4.9617043,8.396649,0.5015692,4.603714
18140,-5.99921,-3.7209215,-3.73517,1.3264571,-7.078717
18294,-3.2236967,-7.3851876,-1.846008,-2.0968542,7.861616
18372,-3.519383,-5.030235,-5.563137,6.726309,1.586909
18327,-4.9878616,0.8972203,3.9424546,2.3270462,-0.7785225
18207,-6.102587,-0.55915636,-1.6293504,-4.817269,-0.697568
18236,-6.5293922,-2.7332585,-3.9440591,-2.310569,-4.7826724
18260,-9.600753,0.060349494,-9.704728,-3.1897337,-3.365073
18192,-7.567843,-5.676504,-3.3229356,-3.8724077,1.3372906
18158,-9.273332,-0.10514281,-2.1228528,-4.6328397,-6.0412235
18123,13.23514,6.1292186,0.45880824,-0.75049174,1.7685941
18336,-9.774818,-0.51524866,-9.656737,-2.9316957,-3.4662092
235,13.762891,1.3838613,-4.5858746,-0.7912162,2.6867375
248,2.5599625,-3.9934394,6.221221,16.640259,-2.274595
51,-5.019741,-1.8425071,-0.68209314,-0.0045710695,-0.12955648
105,-7.428033,-4.4224205,-2.3528953,-2.1273599,3.2563903
213,15.36147,0.87781525,7.78034,-4.318587,-0.6278638
165,-1.8454252,-1.1198524,0.33451363,0.7577073,7.930007
