config_architecture,config_online_simulation_factor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
LSTM,0,0.821179473,0.822739203,0.824671443,0.826358387,0.828560249,0.826619661,0.827237286,0.830009866,0.828820966,0.827088383,0.826413077,0.828182744,0.828368702,0.825880687,0.826285825,0.824444716,0.823819169,0.823988298,0.822856428,0.822991418,0.822999035,0.819594219,0.817927105,0.817731289,0.817731289
LSTM,0.5,0.822766045,0.825447409,0.827406202,0.823612213,0.82795178,0.829713765,0.828000057,0.829915911,0.830081914,0.831034118,0.829144162,0.830993171,0.828510082,0.826972647,0.828671468,0.826184317,0.826090409,0.826251634,0.827589376,0.826509481,0.825202125,0.821820752,0.820535129,0.820280887,0.820280887
LSTM,1,0.825255197,0.827174229,0.828162948,0.828684177,0.830458702,0.83028581,0.828721274,0.830031573,0.829652724,0.830440365,0.829590413,0.829826529,0.828693934,0.831106585,0.82934011,0.830336087,0.828024802,0.829267094,0.828477949,0.828581115,0.82798587,0.830862835,0.828314382,0.82793364,0.82793364
LSTM,2,0.822315817,0.828898353,0.82956164,0.830206137,0.834053959,0.832947684,0.833152841,0.833694378,0.834969399,0.833402025,0.834636444,0.833846245,0.83430681,0.834471848,0.834329069,0.83408073,0.835087484,0.833851861,0.832855227,0.832274607,0.831948549,0.833194839,0.832958686,0.832105382,0.832105382
LSTM,4,0.825199525,0.826929124,0.828649732,0.827855295,0.828152272,0.831865912,0.832057861,0.8312305,0.830953644,0.831962346,0.835190728,0.83262991,0.833460724,0.833580677,0.833371732,0.833080082,0.833671252,0.831487633,0.833963708,0.832636618,0.833407637,0.831888326,0.832335199,0.831046993,0.831046993
LSTM,10,0.823713107,0.830225038,0.827062753,0.829070562,0.826735338,0.82846707,0.829204843,0.827870587,0.827516875,0.824966075,0.827609468,0.826931655,0.825343796,0.828244183,0.82405194,0.8265143,0.82660656,0.827006313,0.825898602,0.824760507,0.821983062,0.824654899,0.825051183,0.824469417,0.824469417
transformer,0,0.820870737,0.824345528,0.826102175,0.825734933,0.826795121,0.824988321,0.826292483,0.827332849,0.827107773,0.826698681,0.826476536,0.825304016,0.827813371,0.827345381,0.828533187,0.827325944,0.82559501,0.825302456,0.82635303,0.826188965,0.827159636,0.824314488,0.824199135,0.822469652,0.822469652
transformer,0.5,0.822300549,0.822949258,0.825468607,0.826678534,0.825507793,0.824799486,0.827047137,0.823751277,0.827735531,0.82709641,0.828317188,0.827498565,0.82730447,0.827189984,0.827454448,0.82718019,0.827433707,0.828079647,0.828011905,0.826289043,0.827249681,0.826863891,0.828372958,0.826376925,0.826376925
transformer,1,0.823598989,0.824977802,0.825160091,0.822885804,0.827984721,0.828684587,0.828706673,0.827067818,0.828295303,0.827718749,0.828618965,0.829816843,0.828325617,0.82919691,0.830245338,0.827782951,0.829211673,0.824696382,0.830947588,0.829199068,0.82740769,0.829457674,0.827318364,0.829226048,0.829226048
transformer,2,0.821761695,0.823935988,0.824908606,0.825909465,0.827938426,0.828804787,0.827491797,0.829472869,0.830650561,0.828618717,0.829649101,0.831115386,0.829887942,0.832866672,0.831210907,0.832076137,0.831367407,0.827857057,0.831269266,0.829869339,0.83184789,0.82973801,0.829758179,0.829352424,0.829352424
transformer,4,0.822524989,0.822943356,0.825062747,0.825744209,0.82428716,0.825844417,0.828179384,0.827636754,0.827386851,0.827846264,0.826912623,0.82644365,0.827250264,0.828581177,0.829150789,0.83053903,0.828113055,0.831893233,0.828984179,0.830962598,0.830625916,0.832365467,0.832133027,0.832792087,0.832792087
transformer,10,0.821829629,0.825952774,0.82300982,0.825360972,0.825291926,0.826471699,0.826465723,0.826360465,0.827901303,0.826851154,0.828675064,0.829580251,0.829804299,0.82879387,0.829017449,0.830621272,0.829710421,0.831065897,0.826208115,0.829293787,0.828936517,0.8314867,0.83157805,0.83127665,0.83127665
