config_basic_nature,config_simulation_user_improve,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
17,0.005,0.794182341,0.794527331,0.792464978,0.791680892,0.79650934,0.792527216,0.792009428,0.79056549,0.798052636,0.794041313,0.791762232,0.790273451,0.790607041,0.7911701,0.790974382,0.791417729,0.794195946,0.792999668,0.787201433,0.787201433
17,0.01,0.790573456,0.792576171,0.79189319,0.793199283,0.789870266,0.798837896,0.799372119,0.800918619,0.799199958,0.796311649,0.802885555,0.797613846,0.80250994,0.802828745,0.804273577,0.802356916,0.799006965,0.797827172,0.802972197,0.802972197
17,0.02,0.778036652,0.789655126,0.790774369,0.794881302,0.791775151,0.794808219,0.794214516,0.799360333,0.791508305,0.792092058,0.793948853,0.791995587,0.793811084,0.791061593,0.788147181,0.787809441,0.788438954,0.791142625,0.788409069,0.788409069
18,0.005,0.791896766,0.786857488,0.796020674,0.789765416,0.797157673,0.797434296,0.793905492,0.796068979,0.792994411,0.80000529,0.798441511,0.794211719,0.795131166,0.79467414,0.796642991,0.793668102,0.792057432,0.796979414,0.791462758,0.791462758
18,0.01,0.789147432,0.789361108,0.794966673,0.793076797,0.794237333,0.79274469,0.794270441,0.79499898,0.797631429,0.796999839,0.793435437,0.793580836,0.790704873,0.79258393,0.792537439,0.792572057,0.793478691,0.793437323,0.791126814,0.791126814
18,0.02,0.789157191,0.790919417,0.794938287,0.797189603,0.79818876,0.796360163,0.790844593,0.792193278,0.792436285,0.789112154,0.790737433,0.794464794,0.790017512,0.79315295,0.78823669,0.787113979,0.790165288,0.788644851,0.788325518,0.788325518
19,0.005,0.790980832,0.790131894,0.787274728,0.795606606,0.795926223,0.793923298,0.79354324,0.793177055,0.793604665,0.796514097,0.789784511,0.793454969,0.794663581,0.793178361,0.794853498,0.795610434,0.793461754,0.795325483,0.797181905,0.797181905
19,0.01,0.782630179,0.789902085,0.795485268,0.77831254,0.794703787,0.791544414,0.792867398,0.793625684,0.79375372,0.794572281,0.797703191,0.79500631,0.799330745,0.797743005,0.797421948,0.793181645,0.792862551,0.791955947,0.792860964,0.792860964
19,0.02,0.789685824,0.793198813,0.792810138,0.796937442,0.797064906,0.793158915,0.795012784,0.797349182,0.796374217,0.796321512,0.79411965,0.793091472,0.793245326,0.790413988,0.792737412,0.788222576,0.793096451,0.79362222,0.786923464,0.786923464
20,0.005,0.782232029,0.786247632,0.790336329,0.791131165,0.793690788,0.790978899,0.791043281,0.796006949,0.788847928,0.794918534,0.79171757,0.794100834,0.798773099,0.792966093,0.793602347,0.794851443,0.795650444,0.794647721,0.796547448,0.796547448
20,0.01,0.789372207,0.795439552,0.792073541,0.795250172,0.795230791,0.797809108,0.791359137,0.792783959,0.793845134,0.795405847,0.794205896,0.790460159,0.789235504,0.788286804,0.790516816,0.792606343,0.789648795,0.790423246,0.789542353,0.789542353
20,0.02,0.790193153,0.789207675,0.790591027,0.791549977,0.791286655,0.793446116,0.797060842,0.796057565,0.789937774,0.783569056,0.792400055,0.795335645,0.791618684,0.793427588,0.79142751,0.790815149,0.792330789,0.791229529,0.789207102,0.789207102
21,0.005,0.791824299,0.795296853,0.791134631,0.797355961,0.791123909,0.795041026,0.79568377,0.792264568,0.796605279,0.796967037,0.798572389,0.796543184,0.790355894,0.795766891,0.797731679,0.79442475,0.793109018,0.788006976,0.794125906,0.794125906
21,0.01,0.783110381,0.789509733,0.795132501,0.797254077,0.798296889,0.79550538,0.795632221,0.79706169,0.795843733,0.794415476,0.795572373,0.796671721,0.792603824,0.797585396,0.796888545,0.796101144,0.798867095,0.791685492,0.794422791,0.794422791
21,0.02,0.787901903,0.789724158,0.792012347,0.790368884,0.79174218,0.795491631,0.793119039,0.797799589,0.794317273,0.796381412,0.798702188,0.797439139,0.79349387,0.795147588,0.792298391,0.788713411,0.790319932,0.79234287,0.792396091,0.792396091
22,0.005,0.78240065,0.788548606,0.793923994,0.794626386,0.794011304,0.79249662,0.79461003,0.799757783,0.795476023,0.793549418,0.793772992,0.792105787,0.797667135,0.789990662,0.791749213,0.792484944,0.788159252,0.794085442,0.788756714,0.788756714
22,0.01,0.783946807,0.792192565,0.792692502,0.793395441,0.795289644,0.795048294,0.792291855,0.79158756,0.791772003,0.79101603,0.79140026,0.785022891,0.789518687,0.789153925,0.789982699,0.788768876,0.784436474,0.790108407,0.790000559,0.790000559
22,0.02,0.787246239,0.787554419,0.791994263,0.797249226,0.790545619,0.79261324,0.790965165,0.792669497,0.796088729,0.79700984,0.791978454,0.793875022,0.792499725,0.793435528,0.792058145,0.792389231,0.790046034,0.786336088,0.790144421,0.790144421
23,0.005,0.792925032,0.791647662,0.791434514,0.792905151,0.789462975,0.797987376,0.794854217,0.795019195,0.797153161,0.796216563,0.796550099,0.795677495,0.788796195,0.797298847,0.789882134,0.793090445,0.791745864,0.790108027,0.792764171,0.792764171
23,0.01,0.790337566,0.797200107,0.791253695,0.795686262,0.795789822,0.789128945,0.794811641,0.79897313,0.799669365,0.80049015,0.797741743,0.801395982,0.799988333,0.799465852,0.799622113,0.80215637,0.802183212,0.794889356,0.798079282,0.798079282
23,0.02,0.792877713,0.79133537,0.789219028,0.7935946,0.790017918,0.793489058,0.79315056,0.785367597,0.788464324,0.788275851,0.79353085,0.794791023,0.793480674,0.799787557,0.793770832,0.793318595,0.795913071,0.794149812,0.789849227,0.789849227
