,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26,pc_27,pc_28,pc_29,pc_30,pc_31,pc_32,pc_33,pc_34,pc_35,pc_36,pc_37,pc_38,pc_39,pc_40,pc_41,pc_42,pc_43,pc_44,pc_45,pc_46,pc_47,pc_48,pc_49,pc_50
13288,14.464333,0.66710615,-1.75836,-1.3547751,-0.84246945,6.305253,-0.24977553,1.6681709,2.0479465,1.1196325,-2.8219297,0.6796966,0.5267757,-3.4077106,-1.1101096,0.2898415,-2.354011,1.3580927,-0.41502205,1.061405,-1.3709294,2.9728491,-2.3633468,0.6986593,-2.1395185,1.1328834,0.8450767,0.17851162,1.8443766,-0.3229376,1.4876436,-1.0745678,-1.772625,0.8054148,-0.7726831,-0.20749761,3.1232991,-0.3283335,0.8315859,0.6266999,-1.2098223,0.70229113,3.3938224,0.44460094,1.5449252,0.3735347,-0.87755823,-0.7525742,0.34889796,-0.13299058
13248,-6.550251,-6.5145364,-3.5578911,-3.3023882,-4.235814,6.722076,-4.419655,-2.352389,7.6325274,-5.2748756,-5.611168,3.8693018,0.02071917,-5.5817146,4.3215804,1.3289195,-0.23396483,-2.0286896,-2.2030132,0.85637724,-1.4832947,2.2997196,-2.8653862,-0.6930415,-2.165701,0.48997933,1.9876791,-0.16927373,-2.2518516,0.40388733,0.99622405,-1.2997698,3.0864236,0.5401604,-1.907035,-1.2674276,4.2218328,-1.555229,2.0037906,0.39315835,-0.7197415,0.09218025,0.55858564,-0.124976784,0.5674374,0.19807361,-1.0398234,-1.3387231,-0.5989645,2.4006405
13237,-0.3787737,-2.925834,-4.7787876,6.8782897,-3.3997765,-1.4252417,3.6547744,-0.5324792,-1.5195502,-2.88168,0.21720204,-0.6792,0.71355313,-0.22362643,-2.9100087,2.9553034,-3.3647165,1.6491205,3.7968252,0.6881427,1.3858323,1.5275962,-1.8018924,-3.6218429,-0.29314116,-3.6262777,-2.154963,0.49901727,0.5057793,0.9551207,-0.040342856,-0.970725,-0.4315334,-2.4458168,2.924204,-3.8882282,-0.7948077,-2.5708528,-2.2228832,1.6706197,-0.04919194,0.8860874,2.0314684,-1.0162816,1.1084262,1.1535329,1.3333882,2.3648322,0.7137854,2.5033212
13225,14.794013,-0.85269725,1.5955777,-3.5833218,1.8997077,-6.472194,0.64876807,1.4849365,2.527762,2.6344428,-1.0068523,2.203292,0.8592741,-4.1917973,-1.8176296,1.6895218,-2.6120386,0.5647924,-0.7199926,0.9399153,-0.8784747,1.5677449,3.7926283,-1.2186381,1.0457944,-1.7239584,-0.37358132,2.1750984,-0.04144992,2.0292723,1.4824185,0.15998478,1.7684826,0.94480467,-0.22263624,-0.6248975,0.87847555,1.7754667,-0.73369884,1.8315951,0.009493238,-0.32988778,1.7514523,-0.33272085,0.6515959,0.5199958,-1.2059132,-0.279008,0.934341,-1.0350499
13016,13.518143,2.439778,5.0270677,-5.555947,-7.5520525,1.1202859,1.6627325,0.9206716,-2.9631422,2.1510189,6.8064117,0.5740095,-2.0939312,-2.1402977,-2.195412,-3.458089,-2.828374,0.37183413,-2.1169627,-3.3544157,-0.72084314,1.6622733,1.5946352,-2.0463977,1.5344317,-1.4958081,-0.74302197,-1.3408893,-0.5896954,0.85428935,-0.16872162,-0.5497513,0.7564272,1.9986526,0.5256104,-0.74147063,0.51469535,0.790859,-1.1170647,-0.72701067,0.19629961,0.071295366,0.18978606,1.0037144,0.119614854,-1.5620713,0.41658375,-1.4423416,1.5253067,0.31141898
13029,-2.266525,0.73086107,-5.5331025,1.2568477,-6.438888,6.977008,5.8494444,0.4446105,-1.6589897,-4.880034,-1.8781701,-2.3985553,-0.95137393,-2.1376424,-2.7823846,2.2326918,-1.6425254,1.8950069,-3.7680838,-1.1815089,-2.2269936,-5.223224,0.43634048,-3.0459638,2.5190923,-0.4506853,-0.6785262,3.1656475,1.6291313,-0.6374731,1.4366753,0.8814157,0.5943766,-1.5462959,1.6869936,-2.8675942,4.500224,2.2619689,7.682982,4.9641533,4.5124583,2.1058497,-3.2276163,-1.3630811,2.3717997,-2.8855736,2.136005,-1.9564693,1.9555085,0.14828348
13258,-4.2645283,1.5049369,7.756737,-2.0208726,-6.9490995,-3.7119167,-1.0927513,4.0514207,-5.331194,0.9605194,-2.5472593,1.2310137,-1.7482493,0.0053535597,3.9425738,-0.096275814,4.55812,-0.28274667,-0.21209419,1.3246675,-1.889529,0.59472674,2.5542185,-0.6253662,-1.5474303,0.29885787,0.3820321,0.5165012,-4.3894053,-1.7472317,-2.6585598,-0.9547995,3.8041532,0.349491,-3.1276865,-1.1259954,-1.9714787,-2.2604804,-2.643358,3.4081607,-0.004097746,2.1964552,0.62027067,-1.0485626,-1.6988645,-1.9164813,-1.7439609,-1.2262098,-0.8299966,-1.3322151
23650,15.290015,-1.1786526,-1.2378168,-2.6896007,-3.5624692,-0.52902234,1.1940168,-1.2039299,1.4425645,0.19310245,-2.2639432,-0.15286204,0.20601848,-1.7772769,-0.9596451,-3.1453042,-2.5709262,0.40660095,-1.780546,-0.64206284,-0.058355957,0.49600098,-0.5237951,-0.9991083,-0.21676281,-0.24198726,-0.54392236,-0.16099867,3.2138414,-0.9914256,0.89884895,0.71998703,1.1630515,1.2178072,0.49377725,0.6089729,1.2710649,2.0617669,0.8485875,-1.5634316,-2.104312,1.501124,-0.0882615,0.5094484,0.24086238,0.53369075,0.256847,-0.59695715,-0.10108817,-0.0021573673
23654,13.428934,1.8338128,-2.8323584,-0.25778332,6.557805,-1.5344133,-1.8869865,1.4782952,-1.0433265,0.001250446,0.25485224,1.3045818,-0.71806955,0.087207206,0.15743831,-1.0207838,-2.2044413,-0.84524006,-0.3133242,3.5467973,0.43086743,-2.3447528,-0.8107283,-0.11235569,-0.40437528,1.2195584,-0.5357956,1.039029,1.6270685,-1.8513149,-0.49046898,-0.86944264,-3.9694862,0.041563928,-1.0007024,-2.8276691,3.2099142,-0.9204922,-3.8408315,-0.014755123,0.44530487,1.6061897,-0.14933716,-1.4626794,0.99863493,0.41565293,0.08161221,0.1925473,0.11508381,1.2768257
23888,-4.1356444,-6.649668,5.797138,-2.1918662,6.925716,-4.4429355,4.1317115,3.6973312,-3.4207094,2.275661,-5.303192,5.468157,-2.711801,-0.51093405,1.7411048,-1.71023,-1.7814138,0.104670115,-0.86516005,1.129825,3.1224551,-0.32223102,0.9933673,2.9784606,-1.7424282,1.569948,-2.2997997,0.39070284,2.950697,-1.9401401,-3.3101227,-0.6998084,-1.0315107,4.259845,0.8608505,1.2389793,0.22770883,0.20591336,-1.518984,-0.3627514,1.1944238,1.0078783,-0.94164103,2.7128103,0.8132133,3.2970982,1.4406171,3.471312,0.3918705,4.147267
