,0,1,2,3,4
0,13288,S Hertogenmolens Hotel,"Everything nice here, Staff is friendly, Hotel is perfect ",,10.0
1,13248,S Hertogenmolens Hotel,"Very friendly staff, nice location and beautiful hotel. ",The rooms have wooden floors that receive a lot of noise from adjacent rooms and corridor. Also the airco (serves as heating) isn't quite. Without ear plugs I would not have been able to get a good night sleep. Rooms are also fairly cold.,7.5
2,13237,S Hertogenmolens Hotel,Good place well recommended,No bad points at all.,9.6
3,13225,S Hertogenmolens Hotel,This hotel is located at a beautiful spot in the center of the town. It is a former Watermill. Breakfast is just good. Beds are good. I slept very well.,,8.3
4,13016,S Hertogenmolens Hotel,The breakfast was fine and the staff to. Top location,,8.0
5,13029,S Hertogenmolens Hotel,Lovely location.  Staff wr excellent.,It was advertised via Booking.com for £80 but with the exchange conversion it was £88.29. Not much but if you're budgeted !!!!! So now how do I account for the extra £8.29,9.0
6,13258,S Hertogenmolens Hotel,the good mix of breads and foods to go on the bread.,no kettle in the bedroom,9.6
7,23650,Acropolis,"Very nice location, hotel and room! Even with Corona, the breakfast was superb! The staff is very friendly and always ready to help. We will come back!",,10.0
8,23654,Acropolis,Nice leisure room for the kids + big room,,9.0
9,23888,Acropolis,Spacious room with large bed. Good breakfast with scrambled eggs and bacon. Lots of bottled water gratis. Free coffee in the lounge/bar was a nice touch.,"Need a room with barrier free toilet. Scrambled eggs need to be kept warmer. A few snacks would have been nice.
",8.8
10,23714,Acropolis,"Spacious places
","Second building still under construction, noisy cart track next door",8.0
11,23816,Acropolis,Luxurious room,Noise from outside was enough to wake us,9.6
12,23702,Acropolis,Spacious family room with excellent breakfast ( well arranged in this Covid situation). Location is fine.,"The  current available walking path to the beach goes through a semi- construction site and a bike path, but still OK. The surface of the path can be challenging in slippers. I understand that there is another path currently closed down due to works.",8.0
13,23690,Acropolis,The room was great and the attention from the staff,The room was not thoroughly cleaned every day and we would have loved to have air conditioning,9.0
14,65,AppartHotel Belle Vue,The room was big.  Nice shower.,The airconditioning was too strong. The bedsheets were thin.,7.1
15,176,AppartHotel Belle Vue,"Good breakfast, staff very nice, outside good looking, dedicated parking lot secured via dedicated code. Even if a bit far away from Mons, this hotel gives you an easy access to the Mons city, which is very saturated in term of traffic. This is a very good point.","bathroom .. took about 5 minutes before to get hot water in the shower.. if we can call this hot.  oh, and be careful with the bed.. you can hurt yourself by bumping your legs into the bed structure which sticks out of the mattress. I have a big bruise on my tibia today -_-'",6.0
16,153,AppartHotel Belle Vue,The hotel staff,Air conditioner varely working. Noisy Place. Could not sleep very well. Many details in the room. The lady in the reception outstandings. She makes de difference.,5.0
17,187,AppartHotel Belle Vue,"The room was set out nicely with a comfy bed, the location was in an easy to get to area and breakfast was buffet with plenty of options.",Staff stayed chatting while I was try to pay for breakfast and leave,9.6
18,205,AppartHotel Belle Vue,"The Receptionist was friendly and helpful and spoke English. Room was small but very modern, cozy and clean. Breakfast fad a great variety of items to choose from and good coffee. Private parking was much appreciated. We would stay again and gladly recommend this hotel.",,9.6
19,228,AppartHotel Belle Vue,"Nice, very quite location, clean and tidy room, friendly people running the hotel. A restaurant downstairs serves delicious food, the service is very nice and friendly.",There was a problem with the hairdryer - it didn't work and it wasn't fixed during my stay.,9.6
20,129,AppartHotel Belle Vue,Pleasantly surprised as the surrounding area is very working class and drab.,The bed and pillows,7.1
21,20705,The best known village of Belgium,Very friendly host. Very clean. We liked it a lot!,Only shared bathroom downstairs,9.2
22,20665,The best known village of Belgium,Beautyful b&b. Thank's for owner Paul for the late check in.,-,9.6
23,20649,The best known village of Belgium,Nice and friendly staff..warm and confortable bed,Parking spaces is a problem if you are coming late,8.0
24,20673,The best known village of Belgium,,"The shared bathroom is in another floor, and you can only access the bathroom using a very step staircase not suitable for old people. There is no external info indicating that this was a pension. In reality that's not a pension but a particular home, where you ""live"" with the owners.",5.4
25,20653,The best known village of Belgium,"The owner personally made super fresh and tasty breakfast. Quiet and warm room, good pillows. The location is 100m from famous Duvel beer brewery.",Google maps navigates to wrong place. But the owner was kind to find us and show the route.,8.8
26,20658,The best known village of Belgium,"Friendly staff, nice House and a Comfortable bed!
Everything was available in the room and they make it comfortable for you.
","Pretty dark stairs and hard to see.
",9.2
27,20720,The best known village of Belgium,,If you go on saturday or Sunday it's imposible to get there.,5.8
