,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10
13288,14.464333,0.66710615,-1.75836,-1.3547751,-0.84246945,6.305253,-0.24977553,1.6681709,2.0479465,1.1196325
13248,-6.550251,-6.5145364,-3.5578911,-3.3023882,-4.235814,6.722076,-4.419655,-2.352389,7.6325274,-5.2748756
13237,-0.3787737,-2.925834,-4.7787876,6.8782897,-3.3997765,-1.4252417,3.6547744,-0.5324792,-1.5195502,-2.88168
13225,14.794013,-0.85269725,1.5955777,-3.5833218,1.8997077,-6.472194,0.64876807,1.4849365,2.527762,2.6344428
13016,13.518143,2.439778,5.0270677,-5.555947,-7.5520525,1.1202859,1.6627325,0.9206716,-2.9631422,2.1510189
13029,-2.266525,0.73086107,-5.5331025,1.2568477,-6.438888,6.977008,5.8494444,0.4446105,-1.6589897,-4.880034
13258,-4.2645283,1.5049369,7.756737,-2.0208726,-6.9490995,-3.7119167,-1.0927513,4.0514207,-5.331194,0.9605194
23650,15.290015,-1.1786526,-1.2378168,-2.6896007,-3.5624692,-0.52902234,1.1940168,-1.2039299,1.4425645,0.19310245
23654,13.428934,1.8338128,-2.8323584,-0.25778332,6.557805,-1.5344133,-1.8869865,1.4782952,-1.0433265,0.001250446
23888,-4.1356444,-6.649668,5.797138,-2.1918662,6.925716,-4.4429355,4.1317115,3.6973312,-3.4207094,2.275661
23714,-5.217848,-1.6206706,-5.3401237,0.5280221,3.1152012,-2.1163926,-5.497011,6.424196,3.5372355,-6.8476057
23816,-5.218974,-2.5707707,0.20898715,1.6656326,10.128123,0.41705108,-4.2868457,0.91420895,0.5144369,-4.6352606
23702,-1.2391455,-6.140514,1.548654,-1.2699325,0.83906263,-5.429877,0.30568904,6.6936903,0.37720472,-3.982001
23690,-7.653844,-2.3141325,1.6345072,-5.2001977,0.9023953,11.572826,-4.083706,-4.8344493,-2.0004437,3.7364585
65,-6.677449,-1.7184062,1.9852524,0.16836812,7.113667,3.5510519,-2.6454005,-7.50419,-6.825811,-1.1738765
176,-2.710515,-3.4651964,2.3269236,0.5722265,-3.4327986,-2.0004373,-2.2653897,-1.435107,1.2388463,4.697095
153,-7.168532,-0.019254636,2.3023655,-0.43684,-0.031683475,8.082084,-1.3755677,4.8768697,7.8914537,1.6500407
187,-3.084153,-6.1830816,5.5636544,-2.7110307,7.4259067,-3.060746,4.7230926,1.9683862,-5.2385135,1.6149287
205,15.264932,-1.0821924,3.381497,-3.1777446,2.2859385,1.0644718,0.27565038,-1.3879676,3.0682535,3.4203594
228,-4.2334156,-6.799253,0.15607874,1.3445519,2.2551866,0.2596679,-1.7142248,-0.42525885,2.422255,1.8334913
129,-5.112704,0.862995,-2.3252673,3.284233,-3.4564445,4.021488,-0.89387894,-3.094609,-4.15934,-2.152735
20705,-3.1154056,-1.234124,3.6676466,-2.4069088,-0.9945475,5.1130295,-6.098555,-2.0643127,-2.0786777,-2.5644524
20665,7.6793637,7.834392,-1.0602419,2.5773923,0.44559678,0.44540894,-0.07375552,-1.1974466,-1.8538877,-1.7212579
20649,-2.1884515,-2.0162284,3.030729,-0.5327531,0.28217173,9.029705,-2.3948357,9.347269,-0.9035646,-6.2708635
20673,-11.093131,18.743328,1.4559728,-0.38277596,2.367634,-0.9957177,-2.7183862,-1.4417313,0.8670435,3.4027739
20653,-0.18336226,-2.2147946,2.9661741,-0.027446374,-2.3336458,-4.27028,2.987292,4.8119497,2.56343,-5.3998604
20658,-2.05855,-5.595685,4.812793,2.6043732,1.3588513,7.027254,-6.800423,2.1235213,-0.0070349113,-6.304899
20720,-9.353593,19.424635,2.3215435,2.0153413,3.9986575,-0.7070205,3.9161468,2.1146479,4.226586,-2.606239
12797,-4.1621146,-3.4783247,0.25731382,1.1635797,3.437957,5.7943487,1.7344425,2.0580332,-2.4466124,-1.9996805
12720,-12.592157,19.320236,0.9487212,-2.684567,3.1384237,0.21300225,-0.15377527,-4.087074,4.7465425,-0.09115051
12902,-8.2081,3.8579853,-8.99446,0.99521697,-4.4084873,-5.3940773,-1.8107513,2.9612658,-7.691092,4.644958
12552,-7.1691513,2.7146409,0.99902767,-3.470169,-7.5805826,14.253673,-5.2382855,4.7646217,0.47633263,0.15708174
12362,-6.9350257,-5.2463303,2.3113565,-5.105479,7.3051457,-1.3823146,-2.235544,-3.2357829,0.44857028,3.217324
12427,-5.4152627,1.8754736,0.2543866,1.2150818,0.28212175,0.8663018,-4.2630286,0.20547913,1.4610747,4.8961425
12129,-6.6690507,-5.004067,-1.6115713,-1.5335497,6.91575,0.87028885,-1.3725036,2.207855,3.6286206,0.48073557
12850,-6.498204,5.783611,5.666345,-2.078681,1.880589,1.263628,3.9445958,-7.206312,-0.6698208,2.733299
12373,-10.423161,8.439014,0.90855193,-1.9574183,-0.76143354,-1.5953577,-2.3901768,1.4791765,-1.0395057,-2.4221456
12562,-5.483857,-3.8109932,-5.235378,0.3943559,-0.74977803,-0.21893555,-3.3236089,4.566809,3.3420944,-2.7469583
12243,-6.7530727,-0.48073757,-5.474421,-2.5679026,-1.0615169,-3.4007304,-5.4865403,0.56642795,-2.6743236,4.0661216
